url	ns	type	id	name	description	code	graphdl	predicate	object	preposition	complement	confidence	occupations	occupationCount
https://tasks.org.ai/Conduct_or_direct_investigations_or_hearings_to_resolve_complaints_or_violations_of_laws,_or_testify_at_such_hearings.	tasks.org.ai	Task	Conduct_or_direct_investigations_or_hearings_to_resolve_complaints_or_violations_of_laws,_or_testify_at_such_hearings.	Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.	Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.	8851	Conduct.or.direct.investigations.or.hearings.to.complaints.violations.laws [Conduct.or.direct.investigations.to.complaints.violations.laws,Conduct.hearings.to.complaints.violations.laws]	Conduct	or direct investigations or hearings	to	complaints violations laws	1	https://onet.org.ai/Task/8851	1
https://tasks.org.ai/Direct_or_coordinate_activities_of_businesses_involved_with_buying_or_selling_investment_products_or_financial_services.	tasks.org.ai	Task	Direct_or_coordinate_activities_of_businesses_involved_with_buying_or_selling_investment_products_or_financial_services.	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	8847	Direct.or.coordinate.activities.of.businesses.involved.investment.products.financial [Direct.or.coordinate.activities.of.businesses.involved.investment.products.financial]	Direct	or coordinate activities	of	businesses involved investment products financial	1	https://onet.org.ai/Task/8847	1
https://tasks.org.ai/Prepare_bylaws_approved_by_elected_officials,_and_ensure_that_bylaws_are_enforced.	tasks.org.ai	Task	Prepare_bylaws_approved_by_elected_officials,_and_ensure_that_bylaws_are_enforced.	Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.	Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.	8853	Prepare.bylaws.approved.by.elected.officials	Prepare	bylaws approved	by	elected officials	1	https://onet.org.ai/Task/8853	1
https://tasks.org.ai/Make_presentations_to_legislative_or_other_government_committees_regarding_policies,_programs,_or_budgets.	tasks.org.ai	Task	Make_presentations_to_legislative_or_other_government_committees_regarding_policies,_programs,_or_budgets.	Make presentations to legislative or other government committees regarding policies, programs, or budgets.	Make presentations to legislative or other government committees regarding policies, programs, or budgets.	8844	Make.presentations.to.legislative.government.committees.policies	Make	presentations	to	legislative government committees policies	1	https://onet.org.ai/Task/8844	1
https://tasks.org.ai/Review_and_analyze_legislation,_laws,_or_public_policy_and_recommend_changes_to_promote_or_support_interests_of_the_general_population_or_special_groups.	tasks.org.ai	Task	Review_and_analyze_legislation,_laws,_or_public_policy_and_recommend_changes_to_promote_or_support_interests_of_the_general_population_or_special_groups.	Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.	Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.	20461	Review.analyze.legislation,.laws,.or.public.policy.and.recommend.changes.to.promote.or.support.interests.of.the.general.population.or.special.groups. [Review.legislation,analyze.legislation]	Review	analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.			1	https://onet.org.ai/Task/20461	1
https://tasks.org.ai/Direct_non-merchandising_departments,_such_as_advertising,_purchasing,_credit,_or_accounting.	tasks.org.ai	Task	Direct_non-merchandising_departments,_such_as_advertising,_purchasing,_credit,_or_accounting.	Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.	Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.	8838	Direct.non	Direct	non			1	https://onet.org.ai/Task/8838	1
https://tasks.org.ai/Refer_major_policy_matters_to_elected_representatives_for_final_decisions.	tasks.org.ai	Task	Refer_major_policy_matters_to_elected_representatives_for_final_decisions.	Refer major policy matters to elected representatives for final decisions.	Refer major policy matters to elected representatives for final decisions.	8845	Refer.major.policy.matters.to.elected.representatives.final.decisions	Refer	major policy matters	to	elected representatives final decisions	1	https://onet.org.ai/Task/8845	1
https://tasks.org.ai/Direct_or_conduct_studies_or_research_on_issues_affecting_areas_of_responsibility.	tasks.org.ai	Task	Direct_or_conduct_studies_or_research_on_issues_affecting_areas_of_responsibility.	Direct or conduct studies or research on issues affecting areas of responsibility.	Direct or conduct studies or research on issues affecting areas of responsibility.	8848	Direct.or.conduct.studies.or.research.on.affecting.areas.responsibility [Direct.or.conduct.studies.on.affecting.areas.responsibility,Direct.research.on.affecting.areas.responsibility]	Direct	or conduct studies or research	on	affecting areas responsibility	1	https://onet.org.ai/Task/8848	1
https://tasks.org.ai/Administer_programs_for_selection_of_sites,_construction_of_buildings,_or_provision_of_equipment_or_supplies.	tasks.org.ai	Task	Administer_programs_for_selection_of_sites,_construction_of_buildings,_or_provision_of_equipment_or_supplies.	Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.	Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.	8846	Administer.programs.for.selection.sites	Administer	programs	for	selection sites	1	https://onet.org.ai/Task/8846	1
https://tasks.org.ai/Represent_organizations_or_promote_their_objectives_at_official_functions,_or_delegate_representatives_to_do_so.	tasks.org.ai	Task	Represent_organizations_or_promote_their_objectives_at_official_functions,_or_delegate_representatives_to_do_so.	Represent organizations or promote their objectives at official functions, or delegate representatives to do so.	Represent organizations or promote their objectives at official functions, or delegate representatives to do so.	8852	organizations.or.promote.objectives.at.official.functions [organizations.or.promote.objectives.at.official.functions]	organizations	or promote objectives	at	official functions	1	https://onet.org.ai/Task/8852	1
https://tasks.org.ai/Monitor_and_evaluate_effectiveness_of_sustainability_programs.	tasks.org.ai	Task	Monitor_and_evaluate_effectiveness_of_sustainability_programs.	Monitor and evaluate effectiveness of sustainability programs.	Monitor and evaluate effectiveness of sustainability programs.	15382	Monitor.evaluate.effectiveness.of.sustainability.programs. [Monitor.effectiveness.of.sustainability,evaluate.effectiveness.of.sustainability]	Monitor	evaluate effectiveness of sustainability programs.			1	https://onet.org.ai/Task/15382	1
https://tasks.org.ai/Develop_or_execute_strategies_to_address_issues_such_as_energy_use,_resource_conservation,_recycling,_pollution_reduction,_waste_elimination,_transportation,_education,_and_building_design.	tasks.org.ai	Task	Develop_or_execute_strategies_to_address_issues_such_as_energy_use,_resource_conservation,_recycling,_pollution_reduction,_waste_elimination,_transportation,_education,_and_building_design.	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	15384	Develop.or.execute.strategies.to.such.energy [Develop.or.execute.strategies.to.such.energy]	Develop	or execute strategies	to	such energy	1	https://onet.org.ai/Task/15384	1
https://tasks.org.ai/Develop,_or_oversee_the_development_of,_sustainability_evaluation_or_monitoring_systems.	tasks.org.ai	Task	Develop,_or_oversee_the_development_of,_sustainability_evaluation_or_monitoring_systems.	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	15379	Develop	Develop				1	https://onet.org.ai/Task/15379	1
https://tasks.org.ai/Supervise_employees_or_volunteers_working_on_sustainability_projects.	tasks.org.ai	Task	Supervise_employees_or_volunteers_working_on_sustainability_projects.	Supervise employees or volunteers working on sustainability projects.	Supervise employees or volunteers working on sustainability projects.	15372	Supervise.employees.or.volunteers.working.on.sustainability.projects [Supervise.employees.on.sustainability.projects,Supervise.volunteers.working.on.sustainability.projects]	Supervise	employees or volunteers working	on	sustainability projects	1	https://onet.org.ai/Task/15372	1
https://tasks.org.ai/Develop_sustainability_reports,_presentations,_or_proposals_for_supplier,_employee,_academia,_media,_government,_public_interest,_or_other_groups.	tasks.org.ai	Task	Develop_sustainability_reports,_presentations,_or_proposals_for_supplier,_employee,_academia,_media,_government,_public_interest,_or_other_groups.	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	15378	Develop.sustainability.reports	Develop	sustainability reports			1	https://onet.org.ai/Task/15378	1
https://tasks.org.ai/Develop,_or_oversee_the_development_of,_marketing_or_outreach_media_for_sustainability_projects_or_events.	tasks.org.ai	Task	Develop,_or_oversee_the_development_of,_marketing_or_outreach_media_for_sustainability_projects_or_events.	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	15380	Develop	Develop				1	https://onet.org.ai/Task/15380	1
https://tasks.org.ai/Identify_and_evaluate_pilot_projects_or_programs_to_enhance_the_sustainability_research_agenda.	tasks.org.ai	Task	Identify_and_evaluate_pilot_projects_or_programs_to_enhance_the_sustainability_research_agenda.	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	15368	Identify.evaluate.pilot.projects.or.programs.to.enhance.the.sustainability.research.agenda. [Identify.pilot.projects.or.programs.to.sustainability.agenda,evaluate.pilot.projects.or.programs.to.sustainability.agenda]	Identify	evaluate pilot projects or programs to enhance the sustainability research agenda.			1	https://onet.org.ai/Task/15368	1
https://tasks.org.ai/Create_and_maintain_sustainability_program_documents,_such_as_schedules_and_budgets.	tasks.org.ai	Task	Create_and_maintain_sustainability_program_documents,_such_as_schedules_and_budgets.	Create and maintain sustainability program documents, such as schedules and budgets.	Create and maintain sustainability program documents, such as schedules and budgets.	15370	Create.maintain.sustainability.program.documents,.such.as.schedules.and.budgets. [Create.sustainability.program.documents,maintain.sustainability.program.documents]	Create	maintain sustainability program documents, such as schedules and budgets.			1	https://onet.org.ai/Task/15370	1
https://tasks.org.ai/Formulate_or_implement_sustainability_campaign_or_marketing_strategies.	tasks.org.ai	Task	Formulate_or_implement_sustainability_campaign_or_marketing_strategies.	Formulate or implement sustainability campaign or marketing strategies.	Formulate or implement sustainability campaign or marketing strategies.	15375	Formulate.or.implement.sustainability.campaign.or.marketing.strategies [Formulate.or.implement.sustainability.campaign,Formulate.marketing.strategies]	Formulate	or implement sustainability campaign or marketing strategies			1	https://onet.org.ai/Task/15375	1
https://tasks.org.ai/Research_environmental_sustainability_issues,_concerns,_or_stakeholder_interests.	tasks.org.ai	Task	Research_environmental_sustainability_issues,_concerns,_or_stakeholder_interests.	Research environmental sustainability issues, concerns, or stakeholder interests.	Research environmental sustainability issues, concerns, or stakeholder interests.	15376	Research.environmental.sustainability.issues	Research	environmental sustainability issues			1	https://onet.org.ai/Task/15376	1
https://tasks.org.ai/Direct_sustainability_program_operations_to_ensure_compliance_with_environmental_or_governmental_regulations.	tasks.org.ai	Task	Direct_sustainability_program_operations_to_ensure_compliance_with_environmental_or_governmental_regulations.	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	15383	Direct.sustainability.program.operations.to.compliance.environmental.governmental.regulations	Direct	sustainability program operations	to	compliance environmental governmental regulations	1	https://onet.org.ai/Task/15383	1
https://tasks.org.ai/Evaluate_and_approve_proposals_for_sustainability_projects,_considering_factors_such_as_cost_effectiveness,_technical_feasibility,_and_integration_with_other_initiatives.	tasks.org.ai	Task	Evaluate_and_approve_proposals_for_sustainability_projects,_considering_factors_such_as_cost_effectiveness,_technical_feasibility,_and_integration_with_other_initiatives.	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	15377	Evaluate.approve.proposals.for.sustainability.projects,.considering.factors.such.as.cost.effectiveness,.technical.feasibility,.and.integration.with.other.initiatives. [Evaluate.proposals.for.sustainability.projects,approve.proposals.for.sustainability.projects]	Evaluate	approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.			1	https://onet.org.ai/Task/15377	1
https://tasks.org.ai/Develop_methodologies_to_assess_the_viability_or_success_of_sustainability_initiatives.	tasks.org.ai	Task	Develop_methodologies_to_assess_the_viability_or_success_of_sustainability_initiatives.	Develop methodologies to assess the viability or success of sustainability initiatives.	Develop methodologies to assess the viability or success of sustainability initiatives.	15381	Develop.methodologies.to.viability.success.sustainability.initiatives	Develop	methodologies	to	viability success sustainability initiatives	1	https://onet.org.ai/Task/15381	1
https://tasks.org.ai/Review_sustainability_program_objectives,_progress,_or_status_to_ensure_compliance_with_policies,_standards,_regulations,_or_laws.	tasks.org.ai	Task	Review_sustainability_program_objectives,_progress,_or_status_to_ensure_compliance_with_policies,_standards,_regulations,_or_laws.	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	15374	Review.sustainability.program.objectives	Review	sustainability program objectives			1	https://onet.org.ai/Task/15374	1
https://tasks.org.ai/Write_and_distribute_financial_or_environmental_impact_reports.	tasks.org.ai	Task	Write_and_distribute_financial_or_environmental_impact_reports.	Write and distribute financial or environmental impact reports.	Write and distribute financial or environmental impact reports.	15373	Write.distribute.financial.or.environmental.impact.reports. [Write.financial.or.environmental.impact.reports,distribute.financial.or.environmental.impact.reports]	Write	distribute financial or environmental impact reports.			1	https://onet.org.ai/Task/15373	1
https://tasks.org.ai/Write_project_proposals,_grant_applications,_or_other_documents_to_pursue_funding_for_environmental_initiatives.	tasks.org.ai	Task	Write_project_proposals,_grant_applications,_or_other_documents_to_pursue_funding_for_environmental_initiatives.	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	15371	Write.project.proposals	Write	project proposals			1	https://onet.org.ai/Task/15371	1
https://tasks.org.ai/Identify_educational,_training,_or_other_development_opportunities_for_sustainability_employees_or_volunteers.	tasks.org.ai	Task	Identify_educational,_training,_or_other_development_opportunities_for_sustainability_employees_or_volunteers.	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	15367	Identify.educational	Identify	educational			1	https://onet.org.ai/Task/15367	1
https://tasks.org.ai/Conduct_risk_assessments_related_to_sustainability_and_the_environment.	tasks.org.ai	Task	Conduct_risk_assessments_related_to_sustainability_and_the_environment.	Conduct risk assessments related to sustainability and the environment.	Conduct risk assessments related to sustainability and the environment.	15369	Conduct.risk.assessments.related.to.sustainability.environment	Conduct	risk assessments related	to	sustainability environment	1	https://onet.org.ai/Task/15369	1
https://tasks.org.ai/Review_financial_statements,_sales_or_activity_reports,_or_other_performance_data_to_measure_productivity_or_goal_achievement_or_to_identify_areas_needing_cost_reduction_or_program_improvement.	tasks.org.ai	Task	Review_financial_statements,_sales_or_activity_reports,_or_other_performance_data_to_measure_productivity_or_goal_achievement_or_to_identify_areas_needing_cost_reduction_or_program_improvement.	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	20699	Review.financial.statements	Review	financial statements			1	https://onet.org.ai/Task/20699	1
https://tasks.org.ai/Direct_and_coordinate_activities_of_businesses_or_departments_concerned_with_the_production,_pricing,_sales,_or_distribution_of_products.	tasks.org.ai	Task	Direct_and_coordinate_activities_of_businesses_or_departments_concerned_with_the_production,_pricing,_sales,_or_distribution_of_products.	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	933	Direct.coordinate.activities.of.businesses.or.departments.concerned.with.the.production,.pricing,.sales,.or.distribution.of.products. [Direct.activities.of.businesses.departments.concerned.production,coordinate.activities.of.businesses.departments.concerned.production]	Direct	coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.			1	https://onet.org.ai/Task/933	1
https://tasks.org.ai/Direct_administrative_activities_directly_related_to_making_products_or_providing_services.	tasks.org.ai	Task	Direct_administrative_activities_directly_related_to_making_products_or_providing_services.	Direct administrative activities directly related to making products or providing services.	Direct administrative activities directly related to making products or providing services.	20700	Direct.administrative.activities.directly.related.to.products	Direct	administrative activities directly related	to	products	1	https://onet.org.ai/Task/20700	1
https://tasks.org.ai/Prepare_staff_work_schedules_and_assign_specific_duties.	tasks.org.ai	Task	Prepare_staff_work_schedules_and_assign_specific_duties.	Prepare staff work schedules and assign specific duties.	Prepare staff work schedules and assign specific duties.	20701	Prepare.staff.work.schedules.and.assign.specific.duties [Prepare.staff.work.schedules,Prepare.assign.specific.duties]	Prepare	staff work schedules and assign specific duties			1	https://onet.org.ai/Task/20701	1
