id	name	description	type
Aivoov	AiVOOV	AiVOOV is an effortless online tool that effortlessly transforms text into voice. Input or upload text, choose a language, and click Play.	Marketing Automation
AiZapier	AI by Zapier	Smart task and text handling powered by a flexible AI. Create text prompts to perform standard tasks like extracting lead (or other) data or answer discrete questions like "where should this message be routed?". Or, create your own!	AI Assistants
Algomo	Algomo	Algomo is an application that allows you to automate and optimize your customer and employee support in 100+ languages	Customer Support
AllImages.ai	All-Images.ai	All-Images.ai is an AI image generation tool.	AI Content Generation
Allswers	Allswers	Generate surveys that deliver value to your company by boosting customer and employee loyalty and measuring quality processes.	Analytics
Alttext.ai	AltText.Ai	AltText.Ai is an app that automatically generates alt text for images using AI computer vision.	AI Content Generation
Anvil	Anvil	Anvil lets you automate your paperwork and business processes: Data-capture, PDF preparation, and e-sign working seamlessly together.	Signatures
AnymailFinder	Anymail finder	Anymail is a sales and marketing tool that allows you to find anybody's email address.	Email
Anywhere	Anywhere	Anywhere helps you organize your work, automate repetitive tasks, and helps you deliver your projects on time.	Project Management
Apiframe	Apiframe	Apiframe is a platform that lets you automate AI Image generation without any setup.	Developer Tools
Appbot	Appbot	Appbot offers App review monitoring, sentiment, text analysis & reply tools for product, tech & support teams. Also supports Amazon products.	Reviews
Appfit	AppFit	AppFit helps you keep track of key events and how they impact your metrics.	Analytics
Applysis	Applysis	Applysis is a web platform that analyses the customer feedback in bulk with the help of AI.	Analytics
Appointy	Appointy	Appointy is an online scheduling system that automates booking, payments and reminders. It allows customers to view real time availability, book instantly, and pay easily for their next appointment, class or event.	Scheduling & Booking
Appreci	appreci	Appreci is a tool that builds stronger personal connections with automated, simplified gifting experiences.	Customer Appreciation
ApprovalDonkey	Approval Donkey	Approval Donkey is an approval workflow tool that surfaces, automates and tracks all your approval, sign-off and decision requests.	Project Management
Apptoto	Apptoto	For appointment-based businesses, Apptoto offers automated SMS text, email or voice reminders and online scheduling	Calendar
Aprova.ai	Aprova.ai	Aprova.ai is a platform for marketing agencies to manage job approvals with their customers.	Task Management
Arattai	Arattai	Arattai lets you send text/voice messages, make audio/video calls, create channels and groups, share photos, documents, stories, and more.	Communication
Armano	Armano	Armano is an all-in-one HR platform that centralizes people operations, automates admin work, and delivers AI-driven insights.	Human Resources
Arpoone	Arpoone	Arpoone is a multichannel marketing platform that helps you create, automate, and optimize e-mail and SMS campaigns, all from a single, easy-to-use platform.	Marketing Automation
Arrivala	Arrivala	Arrivala helps businesses automate the review collection process to improve their business reputation online.	Reviews
Artibot.ai	ArtiBot.ai	ArtiBot is an intelligent chat bot that enables you to capture leads automatically.	Customer Support
ArticleVideoRobot	Article Video Robot	Article To Video Maker. Turn any article into a live talking video with animation, graphics and voice-over and upload it to Youtube - 100% automatically.	Video & Audio
Artworker	Artworker	Artworker automates prepress workflows for printing companies — including file sharing, preflighting, fix-ups, proofing, and artwork approvals.	Content & Files
Askara	Askara	Askara is a virtual assistant for dentists, powered by artificial intelligence, that drafts your documents in less than a minute.	AI Assistants
Assemblyai	AssemblyAI	Run speech-to-text and audio intelligence models from the AssemblyAI API.	AI Models
AssignAi	Assign AI	Assign AI lets you trigger automation using AI.	AI Assistants
AthenAi	Athen AI	Athen AI is a team collaboration tool to organize documents.	AI Sales Tools
AtlasAiRevenueEngine	Atlas AI Revenue Engine	Atlas AI Revenue Engine is an expert-led AI voice platform to handle customer calls.	AI Sales Tools
AtmosaiCrm	AtmosAI CRM	AtmosAI is an easily customizable CRM that connects sales, marketing, invoicing and the entire customer experience.	Sales & CRM
Atom	Atom	Atom is a web software created for doing automated tasks. Our bots will allow you to provide quick solutions for your clients, optimizing the time for your agents to focus on potential buyers.	Sales & CRM
Audionotes.ai	AudioNotes.ai	AudioNotes.ai is an app that turns your spoken words into organized text summaries using AI	AI Meeting Assistants
AudionotesAiMinutes&Notes	Audionotes: AI Minutes & Notes	Audionotes: AI Minutes & Notes is an audio first note taking tool used by 20,000+ users to take meeting and lecture notes	Productivity
Aunoa	Aunoa	Aunoa automates interactions and conversations through AI chatbots. With this app you can send proactive Whatsapp templates.	Customer Support
Auryc	Auryc	Auryc allows you to surface real-time insights with powerful visual context across all of your digital eCommerce journeys.	Analytics
Autoblogger	AutoBlogger	AutoBlogger is a tool designed to help agencies and companies automate their blogging processes.	Marketing
Autocalls	Autocalls	Autocalls is a platform that automates phone calls with voice AI Agents.	AI Assistants
Autohost	Autohost	Autohost is an automated identity verification and fraud prevention platform integrated with multiple property management systems.	Security & Identity Tools
Autoklose	Autoklose	Autoklose is a sales platform that automates email followup and outreach to boost your team’s productivity and performance.	Email
Autorefs	AutoRefs	AutoRefs is a cloud-based reference checking system that automates the communication process between a company, their applicant, and the referee, cutting out paper-based reference checking and calls from your HR process.	HR Talent & Recruitment
Autoro	AUTORO	AUTORO is a cloud based RPA (Robotic Process Automation). This integration starts an automated workflow of AUTORO projects.	Productivity
Avalara	Avalara	Avalara is software for automated tax compliance. Whether you are selling online, starting a new business, or need help filing internationally Avalara can help.	Accounting
Avoma	Avoma	Avoma is an AI platform that automates meeting notes, coaching, and forecasting with Conversation & Revenue Intelligence to help teams move faster and smarter	AI Meeting Assistants
Avrio	Avrio	Avrio is the new way to capture and share data analysis, user research, and learnings directly in context, with your team.	Analytics
Axiom.ai	axiom.ai	axiom.ai is a no-code RPA solution for automating user interface tasks in a web browser.	Productivity
AxiomaBot	Axioma Bot	Axioma Bot is an advanced assistant trained on your data to deliver personalized, actionable intelligence across business functions.	AI Chatbots
AzureOpenai	Azure OpenAI	Azure OpenAI is a cloud-based platform that enables developers and data scientists to build and deploy AI models quickly and easily.	AI Models
Bannerbite	Bannerbite	bannerbite is an automated video generation tool	Content & Files
Baresquare	Baresquare	Baresquare connects with your current analytics platform to make sense of the trends in your data, surfacing micro insights that could lead to major opportunities. In a sea of data, get your bearings with Baresquare’s action-driven analytics.	Analytics
Base64.ai	Base64.ai	Base64.ai can extract text, photos, and signatures from all document types	Documents
BasekitSitebuilder	BaseKit Sitebuilder	Automate your business workflows when your BaseKit Sitebuilder store or online bookings business receives a new order or booking.	Website Builders
Bayengage	BayEngage	BayEngage is a customer engagement platform that helps businesses of all sizes and types scale and automate their marketing efforts.	Marketing Automation
Bbot	Bbot	Bbot lets your customers order from anywhere, on any device with touchless food ordering. Guests can use their smartphone to order and reorder what they want, when they want it. Zero Commission Fees, In-Venue Ordering, Quickly Access Data.	Commerce
Beekai	BEEKAI	BEEKAI is a next-gen form application which allows the user to control and manage their form application's workflow.	Forms & Surveys
Beekeeper	Beekeeper	Beekeeper is a mobile-first communication platform built for frontline employees that reaches every shift, location, and language through real-time messaging, targeted streams, and automated workflows.	Team Collaboration
BehaviorTracker	Behavior Tracker	With the help of Behavior Tracker, you can manage your team's productivity and speed up your project delivery times with powerful analytics.	Analytics
BenchmarkEmail	Benchmark Email	Benchmark is an international, easy-to-use email marketing and event management tool. Affordable, friendly and stylish.	Email Newsletters
Besuperhuman	BeSuperhuman	Besuperhuman is a tool that automates day to day tasks like sending multiple emails etc.	AI Assistants
BettyAi	Betty AI	Betty AI is a platform that enables you to make AI phone calls.	Phone & SMS
Bigmailer	BigMailer	BigMailer is email marketing software for agencies and developers.	Email
Bigml	BigML	BigML is a Machine Learning platform to solve and automate Classification, Regression, Time Series Forecasting, Cluster Analysis, Anomaly Detection, and Topic Modeling tasks. BigML seamlessly transforms data into actionable models that are used as remote services or, locally, embedded into applications to make predictions.	Developer Tools
BigReputation	Big Reputation	Big Reputation is an AI-powered review management solution that automates review requests and generates intelligent review responses for SMBs.	AI Assistants
Bik	BIK	BIK is a powerful marketing software that lets you manage and automate your WhatsApp chats. Create intelligent cohorts, send broadcasts, reply to customer queries, add a WhatsApp widget to your store, all via BIK.	Marketing
Bika.ai	Bika.ai	Bika.ai is an automation database for your marketing, sales, and projects, an easy-to-use database and knowledge-base	App Builder
Billbjorn	BillBjorn	BillBjorn is a tool to automate the data entry of bills and receipts into your accounting software.	Accounting
BillyBirthdayBot	Billy (The Birthday Bot)	Automate birthdays and work anniversaries celebrations in Slack	Human Resources
Birdie	Birdie	Birdie is a platform that allows people in product-related jobs to centralize and classify user feedback from many sources in a single place and get insights with the help of AI	Analytics
Birthdaybot	BirthdayBot	BirthdayBot is the app to keep track of office birthdays and anniversaries. BirthdayBot keeps everyone informed about upcoming birthdays. It also ensures all the members of your team get a proper b-day celebration whether they are working in the office or remote!	HR Talent & Recruitment
Bizpay	BizPay	BizPay automates business expense management with corporate cards, UPI-enabled wallets, and apps, ensuring 360-degree real-time visibility and 100% control.	Accounting
Biztalk	BizTalk	Microsoft BizTalk gives companies the ability to automate business processes through the use of "adapters". Adapters are custom tailored to communicate with different software systems used in an enterprise, and now Zapier can be a powerful adapter!	Developer Tools
Bizwik	BizWik	BizWik automates all your lead generation work on LinkedIn	Marketing Automation
BlandAi	Bland AI	Bland AI is a platform for making ultra-realistic, human-sounding AI phone calls and SMS agents that integrate into your business, with analytics, working 24/7	AI Agents
Blaze.ai	Blaze.ai	Create and ship an entire marketing campaign in 60 seconds.	AI Content Generation
BlazeAi	Blaze AI	Blaze AI is a marketing, automation and analytics tool for web3, AI and dev tools that helps you grow, engage and retain your audiences.	CRM (Customer Relationship Management)
BlinkPayment	Blink Payment	Blink Payment is an all-in-one solution offering multiple payment options, reporting tools, and automated bank reconciliation.	Payment Processing
BloomerangFundraising	Bloomerang Fundraising	Bloomerang Fundraising is an online fundraising platform offering donation forms, event registrations, peer-to-peer events, text fundraising, and auctions.	Fundraising
BluefoxEmail	BlueFox Email	BlueFox Email is an email marketing platform for managing your contact lists, campaigns, and automations.	Email
BlueskyUnshape	Bluesky by Unshape	Automate Bluesky social tasks and connect apps effortlessly with Unshape, your go-to for streamlined social networking.	Social Media Accounts
Bluetick.io	Bluetick.io	Bluetick.io is an automated email followup tool designed to help move leads through your sales funnel.	Email
Boloo	Boloo	Boloo is a bol.com store management tool that automates your e-commerce business.	eCommerce
Boltrends	Boltrends	Boltrends is a bol.com analytics tool which helps sellers to grow their business.	Analytics
Bonsai	Bonsai	Bonsai is a business management platform designed to help agencies and professional service companies deliver great client work.	Project Management
Bookly	Bookly	Bookly is a free scheduling plugin for WordPress that allows accepting online bookings on your website. Join more than 40,000 businesses all around the world that have already automated their online booking system!	Scheduling & Booking
Bookrev	BookRev	BookRev is an automated SMS text messaging app for authors to collect reader contact information.	Phone & SMS
BoonBot	Boon Bot	Build custom AI chatbots that keep your business active even when you're not, ensuring you never miss a lead and always stay a step ahead in customer service.	AI Chatbots
Bot9	bot9	bot9 lets you build your own chat assistant in 30 seconds	AI Chatbots
Botcake	Botcake	Botcake is a free chatbot automation platform that supports online business management through cross-platform customer conversations.	Website & App Building
Botconversa	BotConversa	BotConversa is a Chatbot builder for WhatsApp. We’ve made it simples for small to big Size businesses to automate their WhatsApp conversations and create a true lead generation machine.	Marketing Automation
Botdog	Botdog	Botdog is a LinkedIn automation tool for sales teams of 1-20. We help you automate LinkedIn connection requests, follow-up messages, and outreach campaign	Marketing Automation
BotForge	The Bot Forge	The Bot Forge is an AI chatbot creation app for websites, training, sales, internal bots, & more.	AI Chatbots
Botgenuity	BotGenuity	BotGenuity is a no-code AI chatbots builder.	AI Chatbots
Botifier	Botifier	Botifier lets you create AI-powered bots and conversational workflows.	AI Chatbots
BotiumBox	Botium Box	Botium, also known as "the Selenium for Chatbots", is the industry standard for testing of conversational A.I. (chatbots).	Developer Tools
Botkeeper	Botkeeper	Botkeeper leverages machine learning and workflow tools that automate the most manual and time-consuming bookkeeping work.	Accounting
Botmother	Botmother	Wordpress for chat bots. Botmother helps to collect useful business bots for 1 day for several instant messengers without programming in the visual editor.	Customer Support
Botpenguin	BotPenguin	BotPenguin is an AI chatbot for websites & messaging that ensures you effortlessly build bots for seamless customer engagement.	IT Operations
Botsify	Botsify	Botsify is a platform to create artificial intelligent Chatbots to replace your live support without any coding.	Customer Support
Botsonic	Botsonic	Botsonic is a GPT-4 powered no-code AI chatbot builder by WriteSonic. It can be used for customer support, redirecting to specific product or services and more.	AI Chatbots
Botspace	BotSpace	BotSpace is customer communication platform that offers features like shared inbox, bulk broadcasting and workflows	CRM (Customer Relationship Management)
Botsplash	Botsplash	Botsplash is a customer engagement platform that enables businesses to communicate with their customers through messaging channels	Communication
Botstar	BotStar	BotStar is a chatbot development platform that lets you design and build your chatbots with minimal development and a visual editor.	Customer Support
Botster	Botster	Botster helps businesses automate routine tasks with zero code bots.	Marketing Automation
Bottle	Bottle	Text your customers to sell more stuff. Hundreds of local delivery businesses use Bottle to get, keep and grow their customers.	Phone & SMS
Botx	BotX	BotX lets you call your AI agents to process data and integrate generative AI workflows with other apps.	AI Chatbots
Braincert	BrainCert	BrainCert is an all-in-one unified training platform designed to deliver any type of custom training online with integrated Virtual Classroom and over 300+ tools.	Education
BrainPodAi	Brain Pod AI	AI content creation tool for streamlined content production, including AI content, images, bulk article generator, & SEO mode.	AI Content Generation
Braintree	Braintree	With a first class API, great rates and instant approval, Braintree is the easiest way to accept payments anywhere online and via a mobile app.	Payment Processing
Braintrust	Braintrust	Braintrust is a service that helps ship production-ready AI apps with evals, tracing, and monitoring.	AI Assistants
Brandblast	Brandblast	Brandblast is an AI platform that automates social media creation and scheduling for small businesses and marketing agencies.	AI Content Generation
Brieferr	Brieferr	Brieferr is a form analysis tool that gives insights about your users with various types of forms	Analytics
Brightcall.ai	Brightcall.ai	Brightcall.ai is an AI-powered communication platform that enables to convert leads Into active sales calls in a fast and efficient way.	Phone & SMS
BrowseAi	Browse AI	Browse AI is a web automation tool that lets you extract and monitor data from any website with no code.	AI Web Scraping
Browserhub	Browserhub	Browserhub automates your frequent and manual browsing tasks like data extraction, form filling, web testing, and more; no coding required.	Marketing Automation
BscDesigner	BSC Designer	BSC Designer is a Balanced Scorecard software. Integrate with BSC Designer to automate your scorecards and KPIs.	Business Intelligence
BubblezAi	Bubblez AI	Bubblez AI is a tool to create inbound and outbound voice assistants for automating voice calls.	AI Assistants
Bugbug	BugBug	Save time with easy-to-use, automated browser testing.	AI Tool
Buildchatbot	BuildChatbot	BuildChabot is an all-in-one AI Chatbot for enhancing your website visitors' experience with your private data.	AI Chatbots
BuilderallMailingboss	Builderall Mailingboss	Builderall Mailingboss is an Autoresponder and Email Marketing Platform. With Mailingboss you can capture and send unlimited emails with superior delivery and open rates.	Email Newsletters
Burstyai	BurstyAI	BurstyAI is a platform offering no-code AI workflow tools to automate and optimize content creation, SEO, email outreach, and influencer & partner engagement.	AI Assistants
ByteplantEmailValidator	Byteplant Email Validator	Byteplant Email-Validator validates email addresses right at the point of entry with a real-time live check to find out if they really exist and accept mail. Stop Bouncing - Start Connecting!	Email
C2a	c2a	The c2a system was created for Contact Center offices to support, automate calls and other communication channels.	CRM (Customer Relationship Management)
Cakemail	Cakemail	Cakemail provides all the tools you need to deliver the emails people want. Engage your audience and grow your business with the tools and ongoing support you need to send marketing emails.	Email Newsletters
Calldna	CallDNA	CallsDNA is a speech analytics tool with an easy-to-use API integration for audio file uploading	Analytics
Callpilot.ai	CallPilot.ai	CallPilot.ai is a platform that automates customer support through an AI-powered contact center and knowledge base.	AI Meeting Assistants
Callrail	CallRail	CallRail is an analytics platform designed for those who rely on quality calls and inbound leads to measure success.	Call Tracking
Calltrackingmetrics	CallTrackingMetrics	CallTrackingMetrics is the only digital platform that uses call tracking intelligence to inform contact center automation—resulting in a more personalized customer experience. Discover which marketing campaigns are generating leads and conversions, and use that data to automate call flows and power your contact center.	Call Tracking
Calystapro	Calystapro	Calystapro application simplifies customer relationship management through automated lead capture, contact and opportunity management.	Marketing Automation
Camb.ai	CAMB.AI	CAMB.AI is an AI-powered localization tool that automates multilingual content creation for videos, podcasts, and more.	AI Content Generation
CampaignCleaner	Campaign Cleaner	Campaign Cleaner automatically optimizes your email-marketing campaigns, simplifying campaign optimization for you.	Email
Campaigner	Campaigner	Campaigner is a powerful multi-channel marketing platform that has robust features to deliver email and SMS campaigns that help you drive sales.	Marketing
Campaignhq	CampaignHQ	CampaignHQ is your affordable email marketing partner. Email marketing done right.	Email Newsletters
CampaignMonitor	Campaign Monitor	Campaign Monitor is an email marketing tool built for designers. Campaign Monitor makes it easy to send beautiful emails, manage lists and subscribers, and track the results of your campaigns.	Email Newsletters
CampaignRefinery	Campaign Refinery	Campaign Refinery is an email marketing platform for broadcasts, contact management & automated sequences with list cleaning and deliverability optimization.	Marketing
Campaignware	Campaignware	Campaignware is a digital content creation platform that let's you create gamified, interactive content and help you grow your email list.	Marketing
Canada'sForestTrust	Canada's Forest Trust	Canada's Forest Trust Corporation lets you grow a Smart Forest™. Automate tree-planting from any app, track carbon impact, and boost biodiversity with ease.	Fundraising
Canopy	Canopy	Canopy provides a practice efficiency suite that simplifies your practice so you can help more clients. Each of our products automates busywork and connects your entire practice so you can focus on what’s important.	Accounting
CaOfficeAutomation	CA Office Automation	CA Office Automation is an ERP tool for CPA & Accounting service providers.	CRM (Customer Relationship Management)
Caplena	Caplena	Caplena helps you automatically analyse free-text, creating actionable results from unstructured customer feedback, tweets or app reviews.	Analytics
Captainbook.io	CaptainBook.io	CaptainBook.io is a booking and ticketing software for travel tours and experience companies.	Scheduling & Booking
CaptureAi	Capture AI	Capture AI is an AI chatbot builder with a strong focus on lead capture. Businesses can setup and train their AI agent on their company information.	AI Chatbots
Cardivo	Cardivo	Cardivo lets you offer custom digital gift cards to customers easily with no code. It automates the entire process from purchase to redemption.	eCommerce
Catipult.ai	Catipult.Ai	Catipult is a KPI management tool that helps business owners and CEOs align strategies with core values, mission, and long-term goals.	AI Assistants
Cause.company	Cause.Company	Cause.Company is a cause marketing tool that enables businesses to support charities through automated donations triggered by customer actions.	Ads & Conversion
CaymlandM4	Caymland M4	Caymland M4 is a platform that helps businesses manage customer data and automate personalized communication across multiple channels.	Marketing Automation
Cedar.ai	Cedar.AI	Cedar is an AI company with a mission to improve the rail experience and flexibility as a supply chain product. We build products that make rail easier to use.	Business Intelligence
Cerego	Cerego	Cerego is an adaptive learning platform that uses artificial intelligence and machine learning to scale proven cognitive science and make learning possible for anyone. 	Online Courses
Chainaware.ai	ChainAware.AI	ChainAware.AI is an AI-based crypto wallet auditor featuring fraud detection, intention calculation, and analytics for Ethereum, Polygon, BSC, and TON networks	AI Safety, Compliance, Detection
Chaindesk	Chaindesk	Chaindesk.ai is a no-code platform for building custom ChatGTP agents trained on custom data.	AI Assistants
Chainrecorder	ChainRecorder	ChainRecorder allows you to record any file to the Bitcoin blockchain and save to the IPFS (distributed database)	Security & Identity Tools
Channeldock	ChannelDock	Automate your inventory and order process with ChannelDock; you'll make not only yourself, but also your customers happy.	eCommerce
Chanty	Chanty	Chanty is a simple AI-powered team chat to make your team super productive. Applets let you automate tasks, free time from switching between multiple apps, and accumulate collaborative efforts in a single place.	Team Chat
Chargeautomation	ChargeAutomation	A globally-recognized leader in online check-in, payment automation, deposit collection and upsell.	AI Tool
