ns	type	id	name	description	code	taskType
onet.org.ai	Task	Preside_Over_Or_Serve_On_Boards_Of_Directors_Management_Committees_Or_Other_Governing_Boards	Preside over, or serve on, boards of directors, management committees, or other governing boards.	Preside over, or serve on, boards of directors, management committees, or other governing boards.	8833	Core
onet.org.ai	Task	Attend_And_Participate_In_Meetings_Of_Municipal_Councils_Or_Council_Committees	Attend and participate in meetings of municipal councils or council committees.	Attend and participate in meetings of municipal councils or council committees.	8849	Core
onet.org.ai	Task	Organize_Or_Approve_Promotional_Campaigns	Organize or approve promotional campaigns.	Organize or approve promotional campaigns.	8850	Core
onet.org.ai	Task	Nominate_Citizens_To_Boards_Or_Commissions	Nominate citizens to boards or commissions.	Nominate citizens to boards or commissions.	8842	Supplemental
onet.org.ai	Task	Conduct_Or_Direct_Investigations_Or_Hearings_To_Resolve_Complaints_Or_Violations_Of_Laws_Or_Testify_At_Such_Hearings	Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.	Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.	8851	Supplemental
onet.org.ai	Task	Direct_Or_Coordinate_Activities_Of_Businesses_Involved_With_Buying_Or_Selling_Investment_Products_Or_Financial_Services	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	8847	Supplemental
onet.org.ai	Task	Prepare_Bylaws_Approved_By_Elected_Officials_And_Ensure_That_Bylaws_Are_Enforced	Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.	Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.	8853	Supplemental
onet.org.ai	Task	Make_Presentations_To_Legislative_Or_Other_Government_Committees_Regarding_Policies_Programs_Or_Budgets	Make presentations to legislative or other government committees regarding policies, programs, or budgets.	Make presentations to legislative or other government committees regarding policies, programs, or budgets.	8844	Supplemental
onet.org.ai	Task	Review_And_Analyze_Legislation_Laws_Or_Public_Policy_And_Recommend_Changes_To_Promote_Or_Support_Interests_Of_The_General_Population_Or_Special_Groups	Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.	Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.	20461	Supplemental
onet.org.ai	Task	Direct_Non_Merchandising_Departments_Such_As_Advertising_Purchasing_Credit_Or_Accounting	Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.	Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.	8838	Supplemental
onet.org.ai	Task	Refer_Major_Policy_Matters_To_Elected_Representatives_For_Final_Decisions	Refer major policy matters to elected representatives for final decisions.	Refer major policy matters to elected representatives for final decisions.	8845	Supplemental
onet.org.ai	Task	Direct_Or_Conduct_Studies_Or_Research_On_Issues_Affecting_Areas_Of_Responsibility	Direct or conduct studies or research on issues affecting areas of responsibility.	Direct or conduct studies or research on issues affecting areas of responsibility.	8848	Supplemental
onet.org.ai	Task	Administer_Programs_For_Selection_Of_Sites_Construction_Of_Buildings_Or_Provision_Of_Equipment_Or_Supplies	Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.	Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.	8846	Supplemental
onet.org.ai	Task	Represent_Organizations_Or_Promote_Their_Objectives_At_Official_Functions_Or_Delegate_Representatives_To_Do_So	Represent organizations or promote their objectives at official functions, or delegate representatives to do so.	Represent organizations or promote their objectives at official functions, or delegate representatives to do so.	8852	Supplemental
onet.org.ai	Task	Monitor_And_Evaluate_Effectiveness_Of_Sustainability_Programs	Monitor and evaluate effectiveness of sustainability programs.	Monitor and evaluate effectiveness of sustainability programs.	15382	Core
onet.org.ai	Task	Develop_Or_Execute_Strategies_To_Address_Issues_Such_As_Energy_Use_Resource_Conservation_Recycling_Pollution_Reduction_Waste_Elimination_Transportation_Education_And_Building_Design	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	15384	Core
onet.org.ai	Task	Develop_Or_Oversee_The_Development_Of_Sustainability_Evaluation_Or_Monitoring_Systems	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	15379	Core
onet.org.ai	Task	Supervise_Employees_Or_Volunteers_Working_On_Sustainability_Projects	Supervise employees or volunteers working on sustainability projects.	Supervise employees or volunteers working on sustainability projects.	15372	Core
onet.org.ai	Task	Develop_Sustainability_Reports_Presentations_Or_Proposals_For_Supplier_Employee_Academia_Media_Government_Public_Interest_Or_Other_Groups	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	15378	Core
onet.org.ai	Task	Develop_Or_Oversee_The_Development_Of_Marketing_Or_Outreach_Media_For_Sustainability_Projects_Or_Events	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	15380	Core
onet.org.ai	Task	Identify_And_Evaluate_Pilot_Projects_Or_Programs_To_Enhance_The_Sustainability_Research_Agenda	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	15368	Core
onet.org.ai	Task	Create_And_Maintain_Sustainability_Program_Documents_Such_As_Schedules_And_Budgets	Create and maintain sustainability program documents, such as schedules and budgets.	Create and maintain sustainability program documents, such as schedules and budgets.	15370	Core
onet.org.ai	Task	Formulate_Or_Implement_Sustainability_Campaign_Or_Marketing_Strategies	Formulate or implement sustainability campaign or marketing strategies.	Formulate or implement sustainability campaign or marketing strategies.	15375	Core
onet.org.ai	Task	Research_Environmental_Sustainability_Issues_Concerns_Or_Stakeholder_Interests	Research environmental sustainability issues, concerns, or stakeholder interests.	Research environmental sustainability issues, concerns, or stakeholder interests.	15376	Core
onet.org.ai	Task	Direct_Sustainability_Program_Operations_To_Ensure_Compliance_With_Environmental_Or_Governmental_Regulations	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	15383	Core
onet.org.ai	Task	Evaluate_And_Approve_Proposals_For_Sustainability_Projects_Considering_Factors_Such_As_Cost_Effectiveness_Technical_Feasibility_And_Integration_With_Other_Initiatives	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	15377	Core
onet.org.ai	Task	Develop_Methodologies_To_Assess_The_Viability_Or_Success_Of_Sustainability_Initiatives	Develop methodologies to assess the viability or success of sustainability initiatives.	Develop methodologies to assess the viability or success of sustainability initiatives.	15381	Core
onet.org.ai	Task	Review_Sustainability_Program_Objectives_Progress_Or_Status_To_Ensure_Compliance_With_Policies_Standards_Regulations_Or_Laws	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	15374	Core
onet.org.ai	Task	Write_And_Distribute_Financial_Or_Environmental_Impact_Reports	Write and distribute financial or environmental impact reports.	Write and distribute financial or environmental impact reports.	15373	Core
onet.org.ai	Task	Write_Project_Proposals_Grant_Applications_Or_Other_Documents_To_Pursue_Funding_For_Environmental_Initiatives	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	15371	Core
onet.org.ai	Task	Identify_Educational_Training_Or_Other_Development_Opportunities_For_Sustainability_Employees_Or_Volunteers	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	15367	Core
onet.org.ai	Task	Conduct_Risk_Assessments_Related_To_Sustainability_And_The_Environment	Conduct risk assessments related to sustainability and the environment.	Conduct risk assessments related to sustainability and the environment.	15369	Core
onet.org.ai	Task	Review_Financial_Statements_Sales_Or_Activity_Reports_Or_Other_Performance_Data_To_Measure_Productivity_Or_Goal_Achievement_Or_To_Identify_Areas_Needing_Cost_Reduction_Or_Program_Improvement	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	20699	Core
onet.org.ai	Task	Direct_And_Coordinate_Activities_Of_Businesses_Or_Departments_Concerned_With_The_Production_Pricing_Sales_Or_Distribution_Of_Products	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	933	Core
onet.org.ai	Task	Direct_Administrative_Activities_Directly_Related_To_Making_Products_Or_Providing_Services	Direct administrative activities directly related to making products or providing services.	Direct administrative activities directly related to making products or providing services.	20700	Core
onet.org.ai	Task	Prepare_Staff_Work_Schedules_And_Assign_Specific_Duties	Prepare staff work schedules and assign specific duties.	Prepare staff work schedules and assign specific duties.	20701	Core
onet.org.ai	Task	Direct_Or_Coordinate_Financial_Or_Budget_Activities_To_Fund_Operations_Maximize_Investments_Or_Increase_Efficiency	Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.	Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.	20703	Core
onet.org.ai	Task	Plan_Or_Direct_Activities_Such_As_Sales_Promotions_That_Require_Coordination_With_Other_Department_Managers	Plan or direct activities, such as sales promotions, that require coordination with other department managers.	Plan or direct activities, such as sales promotions, that require coordination with other department managers.	20706	Core
onet.org.ai	Task	Perform_Personnel_Functions_Such_As_Selection_Training_Or_Evaluation	Perform personnel functions, such as selection, training, or evaluation.	Perform personnel functions, such as selection, training, or evaluation.	20705	Core
onet.org.ai	Task	Establish_Or_Implement_Departmental_Policies_Goals_Objectives_Or_Procedures_In_Conjunction_With_Board_Members_Organization_Officials_Or_Staff_Members	Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.	Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.	20704	Core
onet.org.ai	Task	Monitor_Suppliers_To_Ensure_That_They_Efficiently_And_Effectively_Provide_Needed_Goods_Or_Services_Within_Budgetary_Limits	Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.	Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.	20702	Core
onet.org.ai	Task	Manage_The_Movement_Of_Goods_Into_And_Out_Of_Production_Facilities_To_Ensure_Efficiency_Effectiveness_Or_Sustainability_Of_Operations	Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.	Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.	20708	Supplemental
onet.org.ai	Task	Set_Prices_Or_Credit_Terms_For_Goods_Or_Services_Based_On_Forecasts_Of_Customer_Demand	Set prices or credit terms for goods or services, based on forecasts of customer demand.	Set prices or credit terms for goods or services, based on forecasts of customer demand.	20707	Supplemental
onet.org.ai	Task	Perform_Sales_Floor_Work_Such_As_Greeting_Or_Assisting_Customers_Stocking_Shelves_Or_Taking_Inventory	Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.	Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.	944	Supplemental
onet.org.ai	Task	Develop_Or_Implement_Product_Marketing_Strategies_Including_Advertising_Campaigns_Or_Sales_Promotions	Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.	Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.	945	Supplemental
onet.org.ai	Task	Direct_Non_Merchandising_Departments_Of_Businesses_Such_As_Advertising_Or_Purchasing	Direct non-merchandising departments of businesses, such as advertising or purchasing.	Direct non-merchandising departments of businesses, such as advertising or purchasing.	947	Supplemental
onet.org.ai	Task	Implement_Or_Oversee_Environmental_Management_Or_Sustainability_Programs_Addressing_Issues_Such_As_Recycling_Conservation_Or_Waste_Management	Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.	Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.	19501	Supplemental
onet.org.ai	Task	Plan_Store_Layouts_Or_Design_Displays	Plan store layouts or design displays.	Plan store layouts or design displays.	949	Supplemental
onet.org.ai	Task	Recommend_Locations_For_New_Facilities_Or_Oversee_The_Remodeling_Or_Renovating_Of_Current_Facilities	Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.	Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.	948	Supplemental
onet.org.ai	Task	Analyze_And_Understand_The_Local_And_National_Implications_Of_Proposed_Legislation	Analyze and understand the local and national implications of proposed legislation.	Analyze and understand the local and national implications of proposed legislation.	15267	n/a
onet.org.ai	Task	Appoint_Nominees_To_Leadership_Posts_Or_Approve_Such_Appointments	Appoint nominees to leadership posts, or approve such appointments.	Appoint nominees to leadership posts, or approve such appointments.	15268	n/a
onet.org.ai	Task	Confer_With_Colleagues_To_Formulate_Positions_And_Strategies_Pertaining_To_Pending_Issues	Confer with colleagues to formulate positions and strategies pertaining to pending issues.	Confer with colleagues to formulate positions and strategies pertaining to pending issues.	15269	n/a
onet.org.ai	Task	Debate_The_Merits_Of_Proposals_And_Bill_Amendments_During_Floor_Sessions_Following_The_Appropriate_Rules_Of_Procedure	Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.	Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.	15270	n/a
onet.org.ai	Task	Develop_Expertise_In_Subject_Matters_Related_To_Committee_Assignments	Develop expertise in subject matters related to committee assignments.	Develop expertise in subject matters related to committee assignments.	15271	n/a
onet.org.ai	Task	Hear_Testimony_From_Constituents_Representatives_Of_Interest_Groups_Board_And_Commission_Members_And_Others_With_An_Interest_In_Bills_Or_Issues_Under_Consideration	Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.	Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.	15272	n/a
onet.org.ai	Task	Keep_Abreast_Of_The_Issues_Affecting_Constituents_By_Making_Personal_Visits_And_Phone_Calls_Reading_Local_Newspapers_And_Viewing_Or_Listening_To_Local_Broadcasts	Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.	Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.	15273	n/a
onet.org.ai	Task	Maintain_Knowledge_Of_Relevant_National_And_International_Current_Events	Maintain knowledge of relevant national and international current events.	Maintain knowledge of relevant national and international current events.	15274	n/a
onet.org.ai	Task	Make_Decisions_That_Balance_The_Perspectives_Of_Private_Citizens_Public_Officials_And_Party_Leaders	Make decisions that balance the perspectives of private citizens, public officials, and party leaders.	Make decisions that balance the perspectives of private citizens, public officials, and party leaders.	15275	n/a
onet.org.ai	Task	Negotiate_With_Colleagues_Or_Members_Of_Other_Political_Parties_In_Order_To_Reconcile_Differing_Interests_And_To_Create_Policies_And_Agreements	Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.	Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.	15276	n/a
onet.org.ai	Task	Prepare_Drafts_Of_Amendments_Government_Policies_Laws_Rules_Regulations_Budgets_Programs_And_Procedures	Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.	Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.	15277	n/a
onet.org.ai	Task	Read_And_Review_Concerns_Of_Constituents_Or_The_General_Public_And_Determine_If_Governmental_Action_Is_Necessary	Read and review concerns of constituents or the general public and determine if governmental action is necessary.	Read and review concerns of constituents or the general public and determine if governmental action is necessary.	15278	n/a
onet.org.ai	Task	Represent_Their_Parties_In_Negotiations_With_Political_Executives_Or_Members_Of_Other_Parties_And_When_Speaking_With_The_Media	Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.	Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.	15279	n/a
onet.org.ai	Task	Review_Bills_In_Committee_And_Make_Recommendations_About_Their_Future	Review bills in committee, and make recommendations about their future.	Review bills in committee, and make recommendations about their future.	15280	n/a
onet.org.ai	Task	Seek_Federal_Funding_For_Local_Projects_And_Programs	Seek federal funding for local projects and programs.	Seek federal funding for local projects and programs.	15281	n/a
onet.org.ai	Task	Serve_On_Commissions_Investigative_Panels_Study_Groups_And_Committees_In_Order_To_Examine_Specialized_Areas_And_Recommend_Action	Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.	Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.	15282	n/a
onet.org.ai	Task	Vote_On_Motions_Amendments_And_Decisions_On_Whether_Or_Not_To_Report_A_Bill_Out_From_Committee_To_The_Assembly_Floor	Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.	Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.	15283	n/a
onet.org.ai	Task	Write_Prepare_And_Deliver_Statements_For_The_Congressional_Record	Write, prepare, and deliver statements for the Congressional Record.	Write, prepare, and deliver statements for the Congressional Record.	15284	n/a
onet.org.ai	Task	Alert_Constituents_Of_Government_Actions_And_Programs_By_Way_Of_Newsletters_Personal_Appearances_At_Town_Meetings_Phone_Calls_And_Individual_Meetings	Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.	Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.	15285	n/a
onet.org.ai	Task	Attend_Receptions_Dinners_And_Conferences_To_Meet_People_Exchange_Views_And_Information_And_Develop_Working_Relationships	Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.	Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.	15286	n/a
onet.org.ai	Task	Conduct_Head_Counts_To_Help_Predict_The_Outcome_Of_Upcoming_Votes	Conduct "head counts" to help predict the outcome of upcoming votes.	Conduct "head counts" to help predict the outcome of upcoming votes.	15287	n/a
onet.org.ai	Task	Determine_Campaign_Strategies_For_Media_Advertising_Positions_On_Issues_And_Public_Appearances	Determine campaign strategies for media advertising, positions on issues, and public appearances.	Determine campaign strategies for media advertising, positions on issues, and public appearances.	15288	n/a
onet.org.ai	Task	Encourage_And_Support_Party_Candidates_For_Political_Office	Encourage and support party candidates for political office.	Encourage and support party candidates for political office.	15289	n/a
onet.org.ai	Task	Establish_Personal_Offices_In_Local_Districts_Or_States_And_Manage_Office_Staff	Establish personal offices in local districts or states, and manage office staff.	Establish personal offices in local districts or states, and manage office staff.	15290	n/a
onet.org.ai	Task	Evaluate_The_Structure_Efficiency_Activities_And_Performance_Of_Government_Agencies	Evaluate the structure, efficiency, activities, and performance of government agencies.	Evaluate the structure, efficiency, activities, and performance of government agencies.	15291	n/a
onet.org.ai	Task	Organize_And_Maintain_Campaign_Organizations_And_Fundraisers_In_Order_To_Raise_Money_For_Election_Or_Re_Election	Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.	Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.	15292	n/a
onet.org.ai	Task	Oversee_Expense_Allowances_Ensuring_That_Accounts_Are_Balanced_At_The_End_Of_Each_Fiscal_Year	Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.	Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.	15293	n/a
onet.org.ai	Task	Promote_The_Industries_And_Products_Of_Their_Electoral_Districts	Promote the industries and products of their electoral districts.	Promote the industries and products of their electoral districts.	15294	n/a
onet.org.ai	Task	Represent_Their_Government_At_Local_National_And_International_Meetings_And_Conferences	Represent their government at local, national, and international meetings and conferences.	Represent their government at local, national, and international meetings and conferences.	15295	n/a
onet.org.ai	Task	Speak_To_Students_To_Encourage_And_Support_The_Development_Of_Future_Political_Leaders	Speak to students to encourage and support the development of future political leaders.	Speak to students to encourage and support the development of future political leaders.	15296	n/a
onet.org.ai	Task	Plan_And_Prepare_Advertising_And_Promotional_Material_To_Increase_Sales_Of_Products_Or_Services_Working_With_Customers_Company_Officials_Sales_Departments_And_Advertising_Agencies	Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.	Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.	3224	Core
onet.org.ai	Task	Inspect_Layouts_And_Advertising_Copy_And_Edit_Scripts_Audio_Video_And_Other_Promotional_Material_For_Adherence_To_Specifications	Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.	Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.	3226	Core
onet.org.ai	Task	Confer_With_Department_Heads_Or_Staff_To_Discuss_Topics_Such_As_Contracts_Selection_Of_Advertising_Media_Or_Product_To_Be_Advertised	Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.	Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.	3231	Core
onet.org.ai	Task	Coordinate_With_The_Media_To_Disseminate_Advertising	Coordinate with the media to disseminate advertising.	Coordinate with the media to disseminate advertising.	3242	Core
onet.org.ai	Task	Coordinate_Activities_Of_Departments_Such_As_Sales_Graphic_Arts_Media_Finance_And_Research	Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.	Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.	3227	Core
onet.org.ai	Task	Plan_And_Execute_Advertising_Policies_And_Strategies_For_Organizations	Plan and execute advertising policies and strategies for organizations.	Plan and execute advertising policies and strategies for organizations.	3238	Core
onet.org.ai	Task	Direct_Motivate_And_Monitor_The_Mobilization_Of_A_Campaign_Team_To_Advance_Campaign_Goals	Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.	Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.	3237	Core
onet.org.ai	Task	Prepare_Budgets_And_Submit_Estimates_For_Program_Costs_As_Part_Of_Campaign_Plan_Development	Prepare budgets and submit estimates for program costs as part of campaign plan development.	Prepare budgets and submit estimates for program costs as part of campaign plan development.	3223	Core
onet.org.ai	Task	Contact_Organizations_To_Explain_Services_And_Facilities_Offered	Contact organizations to explain services and facilities offered.	Contact organizations to explain services and facilities offered.	3243	Core
