$id	$type	$context	name	description	code	hierarchyID
https://apqc.org.ai/Process/10031	https://apqc.org.ai/Process	https://apqc.org.ai	Create baselines for current processes	Establishing baselines that provide standards for assessing performance levels and allow for a relational benchmarking of current processes. Undertake a survey of archival performance records, conducted in conjunction by the management and the operations personnel. Take into account the organization's internal objectives, particularly for process improvement and enhancement. Understand industry best practices.	10031	1.1.3.3
https://apqc.org.ai/Process/10032	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze systems and technology	Analyzing the capabilities of technology and process automation systems deployed within the organization in order to direct future associated processes. Conduct a broad-based survey to examine various aspects associated with such systems and technologies, with the objective of identifying key facets that are of interest. Investigate the intended purpose, purpose served, utility, longevity, remaining service-life, repair or service requirements, etc.	10032	1.1.3.4
https://apqc.org.ai/Process/10033	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze financial health	Appraising the financial state of the organization so that management can create resource allocation strategies. Scrutinize the organization's financials--including balance sheets, statements of income, cash-flows, equity holdings, and liquidity--with the objective of understanding the organization's financial health and capacities. (This analysis directly feeds into Conduct organizational restructuring opportunities [16792] and Define a business concept and long-term vision [17040].)	10033	1.1.3.5
https://apqc.org.ai/Process/10034	https://apqc.org.ai/Process	https://apqc.org.ai	Identify core competencies	Determining a strategically significant aggregate of competence and capacities that differentiates the organization in the market. Identify distinguishing attributes including unique skills and resources and its brand and services in the marketplace. Have senior executives and management personnel assess competencies in order to further develop these capabilities into distinct commercial value propositions.	10034	1.1.3.6
https://apqc.org.ai/Process/10020	https://apqc.org.ai/Process	https://apqc.org.ai	Establish strategic vision	Establishing the organization's long-term vision as a strategic positioning and engagement of stakeholders. Institute the vision by creating strategic orientations of all stakeholders. Understand the strategy development frameworks in this context.	10020	1.1.4
https://apqc.org.ai/Process/19949	https://apqc.org.ai/Process	https://apqc.org.ai	Define the strategic vision	Developing goals to define organizations vision. Define and document ideas, direction, and activities which enable the organization to reach these goals.	19949	1.1.4.1
https://apqc.org.ai/Process/10035	https://apqc.org.ai/Process	https://apqc.org.ai	Align stakeholders around strategic vision	Orienting those entities, associated with the organization that have a direct bearing on its operations and output, in a way that advances its strategic vision. Map all stakeholders in strategic configurations, within the architectural layout of the marketplace, and position the organization relative to them. (This exercise is undertaken by senior strategy personnel, drawing upon the process Define a business concept and long-term vision [17040].)	10035	1.1.4.2
https://apqc.org.ai/Process/10036	https://apqc.org.ai/Process	https://apqc.org.ai	Communicate strategic vision to stakeholders	Developing and executing communication strategies to convey an alignment plan of all organizational stakeholders, which helps the organization realize its vision. Create custom communication strategies and delivery channels with the objective of orienting stakeholders according to the configuration maps created in the process Align stakeholders around a strategic vision [10035]. Have senior strategy personnel closely collaborate with the communications/marketing team.	10036	1.1.4.3
https://apqc.org.ai/Process/16792	https://apqc.org.ai/Process	https://apqc.org.ai	Conduct organization restructuring opportunities	Examining the scope and contingencies for restructuring based on market situation and internal realities. Map the market forces over which any and all probabilities can be probed for utility and viability. Once the restructuring options have been analyzed and the due-diligence performed, execute the deal. Consider seeking professional services for assistance in formalizing these opportunities.	16792	1.1.5
https://apqc.org.ai/Process/16793	https://apqc.org.ai/Process	https://apqc.org.ai	Identify restructuring opportunities	Identifying opportunities for restructuring the organization, through an analysis of internal viability and external contingency. Conduct a broad-based survey of the market landscape, taking the large-scale trends and movements into account, to determine the necessity and possibility of restructuring the organization. Review the organization's internal capacities, the readiness of its process frameworks, the robustness of its financials, the capableness of its systems, the resourcefulness of its personnel, etc. for assimilating an extensive overhaul.	16793	1.1.5.1
https://apqc.org.ai/Process/16794	https://apqc.org.ai/Process	https://apqc.org.ai	Perform due-diligence	Auditing the status quo of the probabilities, before formalizing any restructuring of the organization with another entity. Systematically investigate all entities discerned to be of interest in Identify restructuring opportunities [16793], to verify all tangible and substantial facts. Consider engaging specialist professional services including legal, accounting, and consulting help.	16794	1.1.5.2
https://apqc.org.ai/Process/16795	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze deal options	Examining various options shortlisted for assimilating new entities into the organization or dissociating from it. Undertake a piecemeal and comprehensive consideration of each option identified for acquisition, merger, de-merger, and divestment. Consider intangible and non-material aspects of the entities involved and synergic aspects. Consider the assistance of specialist professional services.	16795	1.1.5.3
https://apqc.org.ai/Process/16796	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate acquisition options	Appraising entities identified as being suitable for acquisition, taking into account the restructuring opportunities in the internal and external context. Verify the appropriateness and viability of the short-listed options. Ensure these entities pertain to the state-of-affairs in the market, as well as fit with the resources and capabilities of the organization.	16796	1.1.5.3.1
https://apqc.org.ai/Process/16797	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate merger options	Appraising entities identified as being suitable for a merger, taking stock of the restructuring opportunities within the firm and the market. Verify the appropriateness and viability of such options. Assess these entities to ensure their pertinence to the contextual state-of-affairs in the market, as well as a fit with the resources and capabilities of the organization itself. (This process can be carried out, in its entirety, by qualified in-house personnel or may be designated to specialist professional services providers.)	16797	1.1.5.3.2
https://apqc.org.ai/Process/16798	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate de-merger options	Evaluating departments and subsidiaries within the organization, and/or previously merged entities, to assess the appropriateness of a de-merger, taking account of the fit between these entities as well as any relevant externalities. Examine the pertinence and soundness of a formalized dissociation.	16798	1.1.5.3.3
https://apqc.org.ai/Process/16799	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate divesture options	Evaluating departments and/or subsidiaries within the organization to assess the appropriateness of a divestment, taking account of all market externalities. Examine any internal entities that have been identified to be suitable for dismemberment from the organization. Ensure the pertinence and soundness of such a move.	16799	1.1.5.3.4
https://apqc.org.ai/Process/10015	https://apqc.org.ai/Process	https://apqc.org.ai	Develop business strategy	Developing an organization's mission statement, strategy, and business design. Create a concise statement that clearly articulates the mission of the organization, outlining practicable targets to Establish a strategic vision [10020]. Delineate strategic options by matching these alternatives with the organization's internal capabilities. Create an organizational design, and identify goals by developing strategies at the functional and process levels.	10015	1.2
https://apqc.org.ai/Process/10037	https://apqc.org.ai/Process	https://apqc.org.ai	Develop overall mission statement	Establishing an overarching, compact statement that concisely underscores the mission of the organization. Define and communicate a clear and succinct mission statement, which encapsulates how the organization aims to proceed in order to Establish a strategic vision [10020]. Solicit critical inputs from senior management and strategy executives, and collaborate with marketing or personnel from allied functions.	10037	1.2.1
https://apqc.org.ai/Process/10044	https://apqc.org.ai/Process	https://apqc.org.ai	Define current business	Defining the status quo relating to the de facto core of what the business is. Reflect over the fundamental essence of what the business accomplishes and the manner in which it operates. Look beyond the obvious solution capabilities to delineate capacities that form the basis of the business engine. Involve senior executives and management personnel and possibly professional services providers.	10044	1.2.1.1
https://apqc.org.ai/Process/11303	https://apqc.org.ai/Process	https://apqc.org.ai	Describe means to achieve desired state	Describe means to achieve desired state	11303	1.2.1.2
https://apqc.org.ai/Process/10045	https://apqc.org.ai/Process	https://apqc.org.ai	Formulate mission	Outlining actionable objectives that effectively set a course to fulfill the organization's vision. In this fundamental activity, articulate certain goals or targets in broad but practicable terms to reach long-term objectives.	10045	1.2.1.3
https://apqc.org.ai/Process/10046	https://apqc.org.ai/Process	https://apqc.org.ai	Communicate mission	Developing and executing a communication strategy to convey the mission statement. Create a universal communication strategy and appropriate delivery channels, with the objective of leveraging the latter to execute the former. Convey the inherent message of the mission to all stakeholders, including employees, customers, and the public. Ensure collaboration between senior strategy personnel and the communications/marketing team.	10046	1.2.1.4
https://apqc.org.ai/Process/10038	https://apqc.org.ai/Process	https://apqc.org.ai	Define and evaluate strategic options to achieve the objectives	Assessing sets of strategic decisions designed to drive the organization's long-term objectives. Identify various strategies concerning core functional areas. Appraise strategic options in light of auxiliary decision frameworks that ensure smooth functioning, the advancement of functional efficiencies, and vitality. Involve senior management executives, especially strategy and/or business unit personnel, with need-based consultative assistance from professional services providers.	10038	1.2.2
https://apqc.org.ai/Process/10047	https://apqc.org.ai/Process	https://apqc.org.ai	Define strategic options	Defining the various options available to achieve the goals highlighted in the mission statement. Delineate (in accordance with a predefined criteria) the various permutations of strategic decisions that would help the organization achieve the objectives outlined in Develop overall mission statement [10037]. Involve senior management and key strategy personnel, with timely help from professional services providers.	10047	1.2.2.1
https://apqc.org.ai/Process/18083	https://apqc.org.ai/Process	https://apqc.org.ai	Select partnerships and relationships to support the extended enterprise	Supporting the design, manufacture and distribution of product and services through the extended enterprise model.  This is concerned with the strategic decisions on make vs buy, in house or out sourced.  Senior Executives map out how they want to run their business.  Make strategic choices as to whether to buy in components / sub-assemblies, run their own distribution fleet or contract out, own their dealerships or franchise out, etc.  Strategize with partnerships. Collaborate design consideration at strategy level for automotive and procurement act within the Target Operating Model set at strategy level.	18083	1.2.2.1.1
https://apqc.org.ai/Process/10048	https://apqc.org.ai/Process	https://apqc.org.ai	Assess and analyze impact of each option	Scoping and probing to study the impact of strategic options for fulfilling the organization's objectives. Estimate a measure of the impact effectuated by each set of strategic decisions, which comprise Define strategic options [10047]. Closely examine the consequences of each option.	10048	1.2.2.2
https://apqc.org.ai/Process/13289	https://apqc.org.ai/Process	https://apqc.org.ai	Identify implications for key operating model business elements that require change	Determine impacts of elements such as staffing, skills, training, new markets, technology, or policies within operating model which needs change. 	13289	1.2.2.2.1
https://apqc.org.ai/Process/13290	https://apqc.org.ai/Process	https://apqc.org.ai	Identify implications for key technology aspects	Determining key factors for technology ROI, benefits, architecture, etc.	13290	1.2.2.2.2
https://apqc.org.ai/Process/16800	https://apqc.org.ai/Process	https://apqc.org.ai	Develop B2B strategy	Defining a long term plan of action and roadmap to achieve business to business objectives and goals.	16800	1.2.2.3
https://apqc.org.ai/Process/16801	https://apqc.org.ai/Process	https://apqc.org.ai	Develop service as a product strategy	Defining objectives related to business and delivery models to productize service.	16801	1.2.2.3.1
https://apqc.org.ai/Process/16802	https://apqc.org.ai/Process	https://apqc.org.ai	Develop B2C strategy	Defining a long term plan of action and roadmap to achieve business to consumer objectives and goals.	16802	1.2.2.4
https://apqc.org.ai/Process/16803	https://apqc.org.ai/Process	https://apqc.org.ai	Develop partner/alliance strategy	Defining direction and plan objectives for partnering with other companies to deliver product/services. Focus on creating a vision and strategic objectives and culminate in creating measures for the strategic alliance or partnership.	16803	1.2.2.5
https://apqc.org.ai/Process/16805	https://apqc.org.ai/Process	https://apqc.org.ai	Develop merger/demerger/acquisition/exit strategy	Defining a strategy for corporate development. Include providing a framework for evaluating merger and acquisition candidates; and planning for a value creation through merging/demerging with a company, acquiring a company, or exiting from an already merged/acquired company.	16805	1.2.2.6
https://apqc.org.ai/Process/16806	https://apqc.org.ai/Process	https://apqc.org.ai	Develop innovation strategy	Developing a plan and vision to encourage advancements in technology or services. Create a roadmap for changing or innovating the business model to make business operations more competitive. Set up new R&D services for changing or bringing new value propositions, services, production processes, and invention of technology not previously used by competitors etc.	16806	1.2.2.7
https://apqc.org.ai/Process/14189	https://apqc.org.ai/Process	https://apqc.org.ai	Develop sustainability strategy	Formulating strategic options that create opportunities for the sustenance and prosperity of the business in the long run. Go beyond business longevity to consider alternate strategies that allow the organizations preservation of vitality over time. Earmark resources and target processes, the former of which are dedicated to the absorption of sustainable practices in the latter.	14189	1.2.2.8
https://apqc.org.ai/Process/19950	https://apqc.org.ai/Process	https://apqc.org.ai	Develop global support strategy	Developing a plan to deploy support services and support functions throughout the organization globally. Arrange the organizations functional support areas to create efficiencies of scale in the delivery of support services, globally.	19950	1.2.2.9
https://apqc.org.ai/Process/19951	https://apqc.org.ai/Process	https://apqc.org.ai	Develop shared services strategy	Charting a plan to leverage internal services and support functions throughout the organization. Delineate a framework of parameters and criteria to selectively filter service areas for inclusion among the organizations common resources. Arrange the organizations functional areas to create efficiencies of scale in the delivery of internal services.	19951	1.2.2.10
https://apqc.org.ai/Process/14197	https://apqc.org.ai/Process	https://apqc.org.ai	Develop lean/continuous improvement strategy	Developing strategies for the optimization of processes and the improvement of functional areas in order to improve the bottom line. Create a road map of decision choices that would allow the organization to continuously enhance process efficiencies and advance performance standards.	14197	1.2.2.11
https://apqc.org.ai/Process/19952	https://apqc.org.ai/Process	https://apqc.org.ai	Develop innovation strategy and framework	Developing a plan and vision to encourage advancements in technology or product/services. Create a roadmap for changing or innovating the business model to make business operations more competitive. Set up new R&D services for changing or bringing new value propositions, services, production processes, and invention of technology not previously used by competitors etc.	19952	1.2.2.12
https://apqc.org.ai/Process/19630	https://apqc.org.ai/Process	https://apqc.org.ai	Develop long term business transformational strategies	Develop long term business transformational strategies	19630	1.2.2.13
https://apqc.org.ai/Process/10040	https://apqc.org.ai/Process	https://apqc.org.ai	Coordinate and align functional and process strategies	Aligning the approach and method of individual units, departments, systems, and operations within the organization, in accordance with the larger strategic course adopted. Employ the organization's strategic path to guide the functions, divisions, and operations. Calibrate the plan and method of each functional area, as well as the processes therein, to Select the long-term business strategy [10039].	10040	1.2.3
https://apqc.org.ai/Process/10041	https://apqc.org.ai/Process	https://apqc.org.ai	Create organizational design	Formulating a design for the organization's resources that allow it to meet its objectives. Develop a new framework for molding the organization's various processes into a coherent and seamless whole.	10041	1.2.4
https://apqc.org.ai/Process/10049	https://apqc.org.ai/Process	https://apqc.org.ai	Evaluate breadth and depth of organizational structure	Evaluating the structural makeup of the organization, including pertinent features of and associated synergies among constituent elements. Examine the organization's architectural framework, paying close attention to the individual elements, the relations among them, and the conjoint and co-acting forces therein. Analyze functions and processes, as well as work-related positions. Scrutinize various relevant characteristics associated with each of them, depending upon the scale, scope, and type of organization.	10049	1.2.4.1
https://apqc.org.ai/Process/10050	https://apqc.org.ai/Process	https://apqc.org.ai	Perform job-specific roles mapping and value-added analyses	Appraising job-specific roles within the organizational chart and their hierarchical architecture. Analyze a map of work-related roles within the organizational structure. Examine the value added by the positions associated with jobs to be performed and how they stack up within the organization's operations.	10050	1.2.4.2
https://apqc.org.ai/Process/10051	https://apqc.org.ai/Process	https://apqc.org.ai	Develop role activity diagrams to assess hand-off activity	Examining the constituent exercises and undertakings within a work-related position for the purpose of effective delegation. Deconstruct job-specific roles into activities and visualize the relations among them, with the objective of assigning responsibilities to the appropriate personnel.	10051	1.2.4.3
https://apqc.org.ai/Process/10052	https://apqc.org.ai/Process	https://apqc.org.ai	Perform organization redesign workshops	Organizing workshop sessions to adopt organizational redesign. Communicate the organizational structure and mapping of responsibilities against job roles in order to facilitate an effective understanding among personnel. Use a collaborative process that may include participative workshop sessions.	10052	1.2.4.4
https://apqc.org.ai/Process/10053	https://apqc.org.ai/Process	https://apqc.org.ai	Design the relationships between organizational units	Fleshing out the connections and dependencies among the various units of the organization. Delineate the relationship among business units or process frameworks within the organization, in terms of activities, synergies, and shared resources and responsibilities. Formalize relationships among business units so that any mutual coherence is clearly understood and can be attended to.	10053	1.2.4.5
https://apqc.org.ai/Process/10054	https://apqc.org.ai/Process	https://apqc.org.ai	Develop role analysis and activity diagrams for key processes	Creating an understanding of the fit between job roles and organizational processes in order to properly place personnel. Deconstruct key processes into constituent activities, and examine job-related roles. Take cues from Develop role activity diagrams to assess hand-off activity [10051]. Map appropriate positions against these important processes, which in turn expedite the deployment of staff members.	10054	1.2.4.6
https://apqc.org.ai/Process/10055	https://apqc.org.ai/Process	https://apqc.org.ai	Assess organizational implication of feasible alternatives	Probing the repercussions of all practicable organizational design options. Analyze the significance and impact of workable organizational structure options. Closely examine the long-term impact of these frameworks over the functioning of the organization.	10055	1.2.4.7
https://apqc.org.ai/Process/10056	https://apqc.org.ai/Process	https://apqc.org.ai	Migrate to new organization	Embracing and ratifying a new organizational structure. (Assume the new framework to be the best fit through Assess the organizational implications of feasible alternatives [10055].)	10056	1.2.4.8
https://apqc.org.ai/Process/10042	https://apqc.org.ai/Process	https://apqc.org.ai	Develop and set organizational goals	Developing overall goals for the organization that help in accomplishing its mission. Formulate organization-wide targets in the near to middle term, which will accumulate and propel the organization to realize its long-term objectives, as outlined in Develop an overall mission statement [10037]. Enlist business unit heads or equivalent personnel, in close collaboration with senior management executives.	10042	1.2.5
https://apqc.org.ai/Process/19953	https://apqc.org.ai/Process	https://apqc.org.ai	Identify organizational goals	Creating and developing strategic objectives that establishes a process to outline expected outcomes and guide employees' efforts.	19953	1.2.5.1
https://apqc.org.ai/Process/19954	https://apqc.org.ai/Process	https://apqc.org.ai	Establish baseline metrics	Establishing baselines that provide standards for assessing performance. Create metrics and KPI's for various functions/processes/activities based on organizational goals.	19954	1.2.5.2
https://apqc.org.ai/Process/19955	https://apqc.org.ai/Process	https://apqc.org.ai	Monitor performance against goals	Defining methodology and frequency of assessment for measuring and monitoring performance of various functions/processes/activities against standard set goals.	19955	1.2.5.3
https://apqc.org.ai/Process/10043	https://apqc.org.ai/Process	https://apqc.org.ai	Formulate business unit strategies	Charting a strategic course for business units in order to leverage opportunities, sidestep hurdles, and create synergies among each other. Create strategic road maps for the organization's units--in light of their individual resources and requirements, as well as their relationships with other business units--to achieve organizational goals.	10043	1.2.6
https://apqc.org.ai/Process/19956	https://apqc.org.ai/Process	https://apqc.org.ai	Analyze business unit strategies	Assessing the performance of a business unit against set organizational goals which are based on pre-defined metrics collected through various business unit operations.	19956	1.2.6.1
https://apqc.org.ai/Process/19957	https://apqc.org.ai/Process	https://apqc.org.ai	Identify core competency for each business unit	Determining the resources and skills of each business unit based on knowledge and technical capacity. Enable business units to meet customer needs and grow in a competitive marketplace.	19957	1.2.6.2
https://apqc.org.ai/Process/19958	https://apqc.org.ai/Process	https://apqc.org.ai	Refine business unit strategies in support of company strategy	Evaluating existing business unit strategy based on the company's strategy and eliminate unwanted/unnecessary resources/elements and re-consider necessary resources to meet the overall company's strategy.	19958	1.2.6.3
https://apqc.org.ai/Process/19959	https://apqc.org.ai/Process	https://apqc.org.ai	Develop customer experience strategy	Defining a roadmap to meet customer expectations while considering how it will affect the business.	19959	1.2.7
https://apqc.org.ai/Process/19960	https://apqc.org.ai/Process	https://apqc.org.ai	Assess customer experience	Measuring customer feedback in regard to product and services effectiveness based on overall satisfaction. The data to be analyzed is collected through surveys, customer responses, and feedbacks based on the delivered products/services.	19960	1.2.7.1
https://apqc.org.ai/Process/19961	https://apqc.org.ai/Process	https://apqc.org.ai	Identify and review customer touchpoints	Creating methods to gauge customer experiences, expectations, and suggestions. Review both liked and disliked areas of product/services to be delivered. Evaluate touchpoints based on the nature of product/service in the market e.g., billboards, web sites, direct mail, service calls, etc.	19961	1.2.7.1.1
https://apqc.org.ai/Process/19962	https://apqc.org.ai/Process	https://apqc.org.ai	Assess customer experience across touchpoints	Evaluating customer experiences, expectations, and suggestions in both liked and disliked areas of the product or services. Analyze all modes of communication, human and physical interactions, or customers experience during the relationship lifecycle with your organization. Evaluate the gaps/further development/alterations to the existing product/service to attain better customer response.	19962	1.2.7.1.2
https://apqc.org.ai/Process/19963	https://apqc.org.ai/Process	https://apqc.org.ai	Perform root cause analysis of problematic customer experiences	Analyzing the core reason for the customer experience/feedback/response about the product/service to take considerable action for better customer experience.	19963	1.2.7.1.3
https://apqc.org.ai/Process/19964	https://apqc.org.ai/Process	https://apqc.org.ai	Design customer experience	Creating a design of how customers interact with the business by analyzing data captured through various customer interaction and customer involvement. These will be captured through various channels such as customer satisfaction surveys, feedback forms, product reviews, targeted studies, observational studies, or voice of customer research.	19964	1.2.7.2
https://apqc.org.ai/Process/16612	https://apqc.org.ai/Process	https://apqc.org.ai	Define and manage personas	Identifying a set of characteristics that define the demographic and behavioral patterns of the customer. Further, use persona scoring to design your marketing strategies around personas, and measure and optimize your interactions with the contacts classified by a certain persona.	16612	1.2.7.2.1
https://apqc.org.ai/Process/19965	https://apqc.org.ai/Process	https://apqc.org.ai	Create customer journey maps	Creating a story of the customer's experience: from initial contact, through the process of engagement and into a long-term relationship. The goal is to teach organization about the customer.	19965	1.2.7.2.2
https://apqc.org.ai/Process/19966	https://apqc.org.ai/Process	https://apqc.org.ai	Define single view of the customer for the organization	Defining parameters to show aggregated, consistent, and holistic representation of known data about customers. Define key parameters which enable the tracking of customers and communications across every channel.	19966	1.2.7.2.3
https://apqc.org.ai/Process/19967	https://apqc.org.ai/Process	https://apqc.org.ai	Define a vision for the customer experience	Establishing a direction and vision on how the organization behaves towards customers in a consistent, effective way. The key attributes for customer experience vision consists of emotional connection, commitments and expectations, compelling value proposition, and ease of understanding the organization's behavior.	19967	1.2.7.2.4
https://apqc.org.ai/Process/19968	https://apqc.org.ai/Process	https://apqc.org.ai	Validate with customers	Creating a process to validate the sales process and the assumptions that underpin the business model. Understand if the products/services have a repeatable, scalable business model around that product.	19968	1.2.7.2.5
https://apqc.org.ai/Process/19969	https://apqc.org.ai/Process	https://apqc.org.ai	Align experience with brand values and business strategies	Aligning and defining a relevant, differentiated, and credible value proposition for the brand. Align experience to ensure that the product and service quality is consistent with brand promise and business strategies.	19969	1.2.7.2.6
