id	name	description	stage	focus
LateStageEnterpriseVC	Late Stage Enterprise VC	Late-stage venture capital focused on enterprise	Late Stage	Enterprise
LateStageFintechVC	Late Stage Fintech VC	Late-stage venture capital focused on fintech	Late Stage	Fintech
LateStageHealthcareVC	Late Stage Healthcare VC	Late-stage venture capital focused on healthcare	Late Stage	Healthcare
LateStageInfrastructureVC	Late Stage Infrastructure VC	Late-stage venture capital focused on infrastructure	Late Stage	Infrastructure
LateStageMarketplaceVC	Late Stage Marketplace VC	Late-stage venture capital focused on marketplace	Late Stage	Marketplace
LateStageMobilityVC	Late Stage Mobility VC	Late-stage venture capital focused on mobility	Late Stage	Mobility
LateStageProptechVC	Late Stage PropTech VC	Late-stage venture capital focused on proptech	Late Stage	PropTech
LateStageSaasVC	Late Stage SaaS VC	Late-stage venture capital focused on saas	Late Stage	SaaS
LateStageTechnologyVC	Late Stage Technology VC	Late-stage venture capital focused on technology	Late Stage	Technology
PreSeed	Pre-Seed	Pre-seed funding for very early stage startups	Pre-Seed	General
PreSeedAgtechVC	Pre-Seed Agtech VC	Pre-seed funding for very early stage startups focused on agtech	Pre-Seed	Agtech
PreSeedAiMlVC	Pre-Seed AI/ML VC	Pre-seed funding for very early stage startups focused on ai/ml	Pre-Seed	AI/ML
PreSeedBiotechVC	Pre-Seed Biotech VC	Pre-seed funding for very early stage startups focused on biotech	Pre-Seed	Biotech
PreSeedBlockchainVC	Pre-Seed Blockchain VC	Pre-seed funding for very early stage startups focused on blockchain	Pre-Seed	Blockchain
PreSeedCleantechVC	Pre-Seed CleanTech VC	Pre-seed funding for very early stage startups focused on cleantech	Pre-Seed	CleanTech
PreSeedConsumerVC	Pre-Seed Consumer VC	Pre-seed funding for very early stage startups focused on consumer	Pre-Seed	Consumer
PreSeedCybersecurityVC	Pre-Seed Cybersecurity VC	Pre-seed funding for very early stage startups focused on cybersecurity	Pre-Seed	Cybersecurity
PreSeedDeeptechVC	Pre-Seed DeepTech VC	Pre-seed funding for very early stage startups focused on deeptech	Pre-Seed	DeepTech
PreSeedDevtoolsVC	Pre-Seed DevTools VC	Pre-seed funding for very early stage startups focused on devtools	Pre-Seed	DevTools
PreSeedEcommerceVC	Pre-Seed eCommerce VC	Pre-seed funding for very early stage startups focused on ecommerce	Pre-Seed	eCommerce
PreSeedEdtechVC	Pre-Seed EdTech VC	Pre-seed funding for very early stage startups focused on edtech	Pre-Seed	EdTech
PreSeedEnterpriseVC	Pre-Seed Enterprise VC	Pre-seed funding for very early stage startups focused on enterprise	Pre-Seed	Enterprise
PreSeedFintechVC	Pre-Seed Fintech VC	Pre-seed funding for very early stage startups focused on fintech	Pre-Seed	Fintech
PreSeedHealthcareVC	Pre-Seed Healthcare VC	Pre-seed funding for very early stage startups focused on healthcare	Pre-Seed	Healthcare
PreSeedInfrastructureVC	Pre-Seed Infrastructure VC	Pre-seed funding for very early stage startups focused on infrastructure	Pre-Seed	Infrastructure
PreSeedMarketplaceVC	Pre-Seed Marketplace VC	Pre-seed funding for very early stage startups focused on marketplace	Pre-Seed	Marketplace
PreSeedMobilityVC	Pre-Seed Mobility VC	Pre-seed funding for very early stage startups focused on mobility	Pre-Seed	Mobility
PreSeedProptechVC	Pre-Seed PropTech VC	Pre-seed funding for very early stage startups focused on proptech	Pre-Seed	PropTech
PreSeedSaasVC	Pre-Seed SaaS VC	Pre-seed funding for very early stage startups focused on saas	Pre-Seed	SaaS
PreSeedTechnologyVC	Pre-Seed Technology VC	Pre-seed funding for very early stage startups focused on technology	Pre-Seed	Technology
Seed	Seed	Seed funding for early-stage startups	Seed	General
SeedAgtechVC	Seed Agtech VC	Seed funding for early-stage startups focused on agtech	Seed	Agtech
SeedAiMlVC	Seed AI/ML VC	Seed funding for early-stage startups focused on ai/ml	Seed	AI/ML
SeedBiotechVC	Seed Biotech VC	Seed funding for early-stage startups focused on biotech	Seed	Biotech
SeedBlockchainVC	Seed Blockchain VC	Seed funding for early-stage startups focused on blockchain	Seed	Blockchain
SeedCleantechVC	Seed CleanTech VC	Seed funding for early-stage startups focused on cleantech	Seed	CleanTech
SeedConsumerVC	Seed Consumer VC	Seed funding for early-stage startups focused on consumer	Seed	Consumer
SeedCybersecurityVC	Seed Cybersecurity VC	Seed funding for early-stage startups focused on cybersecurity	Seed	Cybersecurity
SeedDeeptechVC	Seed DeepTech VC	Seed funding for early-stage startups focused on deeptech	Seed	DeepTech
SeedDevtoolsVC	Seed DevTools VC	Seed funding for early-stage startups focused on devtools	Seed	DevTools
SeedEcommerceVC	Seed eCommerce VC	Seed funding for early-stage startups focused on ecommerce	Seed	eCommerce
SeedEdtechVC	Seed EdTech VC	Seed funding for early-stage startups focused on edtech	Seed	EdTech
SeedEnterpriseVC	Seed Enterprise VC	Seed funding for early-stage startups focused on enterprise	Seed	Enterprise
SeedFintechVC	Seed Fintech VC	Seed funding for early-stage startups focused on fintech	Seed	Fintech
SeedHealthcareVC	Seed Healthcare VC	Seed funding for early-stage startups focused on healthcare	Seed	Healthcare
SeedInfrastructureVC	Seed Infrastructure VC	Seed funding for early-stage startups focused on infrastructure	Seed	Infrastructure
SeedMarketplaceVC	Seed Marketplace VC	Seed funding for early-stage startups focused on marketplace	Seed	Marketplace
SeedMobilityVC	Seed Mobility VC	Seed funding for early-stage startups focused on mobility	Seed	Mobility
SeedProptechVC	Seed PropTech VC	Seed funding for early-stage startups focused on proptech	Seed	PropTech
SeedSaasVC	Seed SaaS VC	Seed funding for early-stage startups focused on saas	Seed	SaaS
SeedTechnologyVC	Seed Technology VC	Seed funding for early-stage startups focused on technology	Seed	Technology
Series	Series A	Series A funding for startups with traction	Series A	General
SeriesAgtechVC	Series A Agtech VC	Series A funding for startups with traction focused on agtech	Series A	Agtech
SeriesAiMlVC	Series A AI/ML VC	Series A funding for startups with traction focused on ai/ml	Series A	AI/ML
SeriesB	Series B	Series B funding for scaling companies	Series B	General
SeriesBAgtechVC	Series B Agtech VC	Series B funding for scaling companies focused on agtech	Series B	Agtech
SeriesBAiMlVC	Series B AI/ML VC	Series B funding for scaling companies focused on ai/ml	Series B	AI/ML
SeriesBBiotechVC	Series B Biotech VC	Series B funding for scaling companies focused on biotech	Series B	Biotech
SeriesBBlockchainVC	Series B Blockchain VC	Series B funding for scaling companies focused on blockchain	Series B	Blockchain
SeriesBCleantechVC	Series B CleanTech VC	Series B funding for scaling companies focused on cleantech	Series B	CleanTech
SeriesBConsumerVC	Series B Consumer VC	Series B funding for scaling companies focused on consumer	Series B	Consumer
SeriesBCybersecurityVC	Series B Cybersecurity VC	Series B funding for scaling companies focused on cybersecurity	Series B	Cybersecurity
SeriesBDeeptechVC	Series B DeepTech VC	Series B funding for scaling companies focused on deeptech	Series B	DeepTech
SeriesBDevtoolsVC	Series B DevTools VC	Series B funding for scaling companies focused on devtools	Series B	DevTools
SeriesBEcommerceVC	Series B eCommerce VC	Series B funding for scaling companies focused on ecommerce	Series B	eCommerce
SeriesBEdtechVC	Series B EdTech VC	Series B funding for scaling companies focused on edtech	Series B	EdTech
SeriesBEnterpriseVC	Series B Enterprise VC	Series B funding for scaling companies focused on enterprise	Series B	Enterprise
SeriesBFintechVC	Series B Fintech VC	Series B funding for scaling companies focused on fintech	Series B	Fintech
SeriesBHealthcareVC	Series B Healthcare VC	Series B funding for scaling companies focused on healthcare	Series B	Healthcare
SeriesBInfrastructureVC	Series B Infrastructure VC	Series B funding for scaling companies focused on infrastructure	Series B	Infrastructure
SeriesBiotechVC	Series A Biotech VC	Series A funding for startups with traction focused on biotech	Series A	Biotech
SeriesBlockchainVC	Series A Blockchain VC	Series A funding for startups with traction focused on blockchain	Series A	Blockchain
SeriesBMarketplaceVC	Series B Marketplace VC	Series B funding for scaling companies focused on marketplace	Series B	Marketplace
SeriesBMobilityVC	Series B Mobility VC	Series B funding for scaling companies focused on mobility	Series B	Mobility
SeriesBProptechVC	Series B PropTech VC	Series B funding for scaling companies focused on proptech	Series B	PropTech
SeriesBSaasVC	Series B SaaS VC	Series B funding for scaling companies focused on saas	Series B	SaaS
SeriesBTechnologyVC	Series B Technology VC	Series B funding for scaling companies focused on technology	Series B	Technology
SeriesC	Series C	Series C and later stage funding	Series C	General
SeriesCAgtechVC	Series C Agtech VC	Series C and later stage funding focused on agtech	Series C	Agtech
SeriesCAiMlVC	Series C AI/ML VC	Series C and later stage funding focused on ai/ml	Series C	AI/ML
SeriesCBiotechVC	Series C Biotech VC	Series C and later stage funding focused on biotech	Series C	Biotech
SeriesCBlockchainVC	Series C Blockchain VC	Series C and later stage funding focused on blockchain	Series C	Blockchain
SeriesCCleantechVC	Series C CleanTech VC	Series C and later stage funding focused on cleantech	Series C	CleanTech
SeriesCConsumerVC	Series C Consumer VC	Series C and later stage funding focused on consumer	Series C	Consumer
SeriesCCybersecurityVC	Series C Cybersecurity VC	Series C and later stage funding focused on cybersecurity	Series C	Cybersecurity
SeriesCDeeptechVC	Series C DeepTech VC	Series C and later stage funding focused on deeptech	Series C	DeepTech
SeriesCDevtoolsVC	Series C DevTools VC	Series C and later stage funding focused on devtools	Series C	DevTools
SeriesCEcommerceVC	Series C eCommerce VC	Series C and later stage funding focused on ecommerce	Series C	eCommerce
SeriesCEdtechVC	Series C EdTech VC	Series C and later stage funding focused on edtech	Series C	EdTech
SeriesCEnterpriseVC	Series C Enterprise VC	Series C and later stage funding focused on enterprise	Series C	Enterprise
SeriesCFintechVC	Series C Fintech VC	Series C and later stage funding focused on fintech	Series C	Fintech
SeriesCHealthcareVC	Series C Healthcare VC	Series C and later stage funding focused on healthcare	Series C	Healthcare
SeriesCInfrastructureVC	Series C Infrastructure VC	Series C and later stage funding focused on infrastructure	Series C	Infrastructure
SeriesCleantechVC	Series A CleanTech VC	Series A funding for startups with traction focused on cleantech	Series A	CleanTech
SeriesCMarketplaceVC	Series C Marketplace VC	Series C and later stage funding focused on marketplace	Series C	Marketplace
SeriesCMobilityVC	Series C Mobility VC	Series C and later stage funding focused on mobility	Series C	Mobility
SeriesConsumerVC	Series A Consumer VC	Series A funding for startups with traction focused on consumer	Series A	Consumer
SeriesCProptechVC	Series C PropTech VC	Series C and later stage funding focused on proptech	Series C	PropTech
SeriesCSaasVC	Series C SaaS VC	Series C and later stage funding focused on saas	Series C	SaaS
SeriesCTechnologyVC	Series C Technology VC	Series C and later stage funding focused on technology	Series C	Technology
SeriesCybersecurityVC	Series A Cybersecurity VC	Series A funding for startups with traction focused on cybersecurity	Series A	Cybersecurity
SeriesDeeptechVC	Series A DeepTech VC	Series A funding for startups with traction focused on deeptech	Series A	DeepTech
SeriesDevtoolsVC	Series A DevTools VC	Series A funding for startups with traction focused on devtools	Series A	DevTools
SeriesEcommerceVC	Series A eCommerce VC	Series A funding for startups with traction focused on ecommerce	Series A	eCommerce
SeriesEdtechVC	Series A EdTech VC	Series A funding for startups with traction focused on edtech	Series A	EdTech
SeriesEnterpriseVC	Series A Enterprise VC	Series A funding for startups with traction focused on enterprise	Series A	Enterprise
SeriesFintechVC	Series A Fintech VC	Series A funding for startups with traction focused on fintech	Series A	Fintech
SeriesHealthcareVC	Series A Healthcare VC	Series A funding for startups with traction focused on healthcare	Series A	Healthcare
SeriesInfrastructureVC	Series A Infrastructure VC	Series A funding for startups with traction focused on infrastructure	Series A	Infrastructure
SeriesMarketplaceVC	Series A Marketplace VC	Series A funding for startups with traction focused on marketplace	Series A	Marketplace
SeriesMobilityVC	Series A Mobility VC	Series A funding for startups with traction focused on mobility	Series A	Mobility
SeriesProptechVC	Series A PropTech VC	Series A funding for startups with traction focused on proptech	Series A	PropTech
SeriesSaasVC	Series A SaaS VC	Series A funding for startups with traction focused on saas	Series A	SaaS
SeriesTechnologyVC	Series A Technology VC	Series A funding for startups with traction focused on technology	Series A	Technology
